pct_carrier_delay;pct_atc_delay;pct_weather_delay;airline
873.404.255.319.149;438.297.872.340.426;0.914893617021277;American
598.787.878.787.879;425.454.545.454.545;202.424.242.424.242;American
894.239.631.336.406;671.658.986.175.115;164.976.958.525.346;American
891.170.825.335.893;302.495.201.535.509;0.875239923224568;American
144.659.090.909.091;480.681.818.181.818;0.715909090909091;American
655.154.639.175.258;199.226.804.123.711;139.690.721.649.485;American
468.167.860.798.362;191.044.012.282.497;0.632548618219038;American
589.075.630.252.101;0.953781512605042;0.432773109243697;American
914.285.714.285.714;413.696.612.665.685;187.187.039.764.359;American
112.547.169.811.321;19.622.641.509.434;139.622.641.509.434;American
121.693.548.387.097;17.258.064.516.129;0.943548387096774;American
123.569.682.151.589;686.063.569.682.152;105.378.973.105.134;American
673.479.561.316.052;301.096.709.870.389;125.523.429.710.867;American
118.448.275.862.069;491.379.310.344.828;376.724.137.931.034;American
640.909.090.909.091;231.818.181.818.182;0;American
103.659.003.831.418;316.475.095.785.441;0.653256704980843;American
854.032.258.064.516;108.467.741.935.484;206.854.838.709.677;American
821.532.846.715.328;518.978.102.189.781;104.379.562.043.796;American
683.333.333.333.333;1.75;343.055.555.555.556;American
0;111.111.111.111.111;0;Alaska
178.571.428.571.429;517.857.142.857.143;3.75;Alaska
256.307.977.736.549;160.018.552.875.696;0.561224489795918;Alaska
0;645.161.290.322.581;0;Alaska
377.358.490.566.038;435.849.056.603.774;158.490.566.037.736;Alaska
436.046.511.627.907;5;0;Alaska
714.285.714.285.714;714.285.714.285.714;714.285.714.285.714;Alaska
0.6;230.363.636.363.636;0;Alaska
201.449.275.362.319;121.739.130.434.783;340.579.710.144.928;Alaska
264.044.943.820.225;138.202.247.191.011;0;Alaska
483.606.557.377.049;172.131.147.540.984;0;Alaska
304.301.075.268.817;206.129.032.258.065;0;Alaska
300.854.700.854.701;523.931.623.931.624;0;Alaska
574.193.548.387.097;152.258.064.516.129;0;Alaska
47.258.064.516.129;134.032.258.064.516;124.193.548.387.097;Alaska
218.037.974.683.544;212.658.227.848.101;0.395569620253165;Alaska
224.719.101.123.596;0;0;Alaska
554.838.709.677.419;241.827.956.989.247;0.924731182795699;Alaska
0;32.258.064.516.129;0;Alaska
234.437.086.092.715;565.562.913.907.285;158.278.145.695.364;Alaska
334.090.909.090.909;512.045.454.545.455;0;Alaska
441.081.081.081.081;156.216.216.216.216;0.427027027027027;Alaska
376.109.215.017.065;652.901.023.890.785;0;Alaska
2.7;369.772.727.272.727;0.390909090909091;Alaska
803.225.806.451.613;288.387.096.774.194;183.870.967.741.935;Alaska
256.451.612.903.226;993.548.387.096.774;0;Alaska
348.387.096.774.194;205.483.870.967.742;0;Alaska
181.818.181.818.182;727.272.727.272.727;0;Alaska
483.040.935.672.515;229.239.766.081.871;0;Alaska
0.129032258064516;42.247.311.827.957;0.634408602150538;Alaska
0.527472527472527;192.307.692.307.692;165.934.065.934.066;Alaska
590.909.090.909.091;620.454.545.454.545;103.409.090.909.091;Alaska
628.925.619.834.711;363.140.495.867.769;100.826.446.280.992;Alaska
373.626.373.626.374;10.989.010.989.011;10.989.010.989.011;Alaska
174.612.129.760.226;305.500.705.218.618;0.186177715091678;Alaska
51.244.635.193.133;412.875.536.480.687;0.373390557939914;Alaska
0.934426229508197;316.393.442.622.951;211.475.409.836.066;Alaska
3.5;217.204.301.075.269;0.032258064516129;Alaska
201.083.032.490.975;508.303.249.097.473;0.292418772563177;Alaska
181.818.181.818.182;138.181.818.181.818;154.545.454.545.455;Alaska
226.292.067.307.692;479.897.836.538.461;0.291466346153846;Alaska
179.674.796.747.967;321.138.211.382.114;0.813008130081301;Alaska
414.130.434.782.609;243.478.260.869.565;151.086.956.521.739;Alaska
341.237.113.402.062;584.536.082.474.227;0.515463917525773;Alaska
742.372.881.355.932;308.474.576.271.186;0;Alaska
257.232.704.402.516;355.974.842.767.296;0.559748427672956;Alaska
32.258.064.516.129;0;0;Alaska
163.934.426.229.508;111.475.409.836.066;0;Alaska
365.573.770.491.803;163.934.426.229.508;314.754.098.360.656;Alaska
103.658.536.585.366;881.707.317.073.171;0.150406504065041;Jet Blue
538.325.740.318.907;916.514.806.378.132;0.113325740318907;Jet Blue
581.739.130.434.783;6.8;0.121739130434783;Jet Blue
107.880.794.701.987;28.476.821.192.053;0;Jet Blue
109.151.193.633.952;362.864.721.485.411;0.387267904509284;Jet Blue
824.561.403.508.772;345.614.035.087.719;0.280701754385965;Jet Blue
627.586.206.896.552;456.034.482.758.621;155.172.413.793.103;Jet Blue
12.362.962.962.963;405.185.185.185.185;0.733333333333333;Jet Blue
479.220.779.220.779;287.012.987.012.987;0.571428571428571;Jet Blue
777.317.073.170.732;157.975.609.756.098;0;Jet Blue
791.919.191.919.192;828.367.003.367.003;0.336700336700337;Jet Blue
765.079.365.079.365;634.920.634.920.635;0;Jet Blue
690.818.858.560.794;506.699.751.861.042;0;Jet Blue
672.406.181.015.453;631.346.578.366.446;0.0551876379690949;Jet Blue
126.666.666.666.667;100.277.777.777.778;0.490740740740741;Jet Blue
485.340.599.455.041;982.588.555.858.311;0.238692098092643;Jet Blue
750.909.090.909.091;517.818.181.818.182;0.378181818181818;Jet Blue
167.741.935.483.871;324.731.182.795.699;0.10752688172043;Jet Blue
775.636.363.636.364;848.363.636.363.636;0.0727272727272727;Jet Blue
287.199.124.726.477;378.118.161.925.602;0.334792122538293;Jet Blue
768.780.487.804.878;105.073.170.731.707;0.148780487804878;Jet Blue
6.5;844.444.444.444.444;0.0462962962962963;Jet Blue
41.712.962.962.963;392.592.592.592.593;0.981481481481482;Jet Blue
523.870.967.741.935;133.354.838.709.677;0.245161290322581;Jet Blue
88.036.036.036.036;808.828.828.828.829;0.18018018018018;Jet Blue
760.674.157.303.371;41.685.393.258.427;0.786516853932584;Jet Blue
951.063.829.787.234;105.744.680.851.064;0.978723404255319;Jet Blue
965.217.391.304.348;0.793478260869565;0;Jet Blue
50.983.606.557.377;778.688.524.590.164;0.114754098360656;Jet Blue
10.575;198.333.333.333.333;0;Jet Blue
80.703.125;89.375;0;Jet Blue
676.923.076.923.077;533.516.483.516.484;0.0989010989010989;Jet Blue
701.960.784.313.725;384.967.320.261.438;0.169934640522876;Jet Blue
831.084.337.349.398;966.024.096.385.542;0.963855421686747;Jet Blue
172.826.086.956.522;479.347.826.086.957;0;Jet Blue
425.833.333.333.333;305.833.333.333.333;0.833333333333333;Jet Blue
462.460.567.823.344;213.249.211.356.467;0.315457413249211;Jet Blue
795.348.837.209.302;425.581.395.348.837;0;Jet Blue
899.573.560.767.591;607.675.906.183.369;0.505330490405117;Jet Blue
743.010.752.688.172;581.720.430.107.527;0;Jet Blue
751.851.851.851.852;312.345.679.012.346;0.753086419753086;Jet Blue
595.161.290.322.581;77.258.064.516.129;0;Jet Blue
832.258.064.516.129;351.612.903.225.806;0;Jet Blue
123.552.631.578.947;305.921.052.631.579;0;Jet Blue
839.776.951.672.862;116.208.178.438.662;0.516728624535316;Jet Blue
422.689.075.630.252;409.243.697.478.992;167.226.890.756.303;Delta
0;50;0;Delta
114.307.692.307.692;530.769.230.769.231;0;Delta
36.459.940.185.739;734.652.919.880.372;0.579726113647096;Delta
454.545.454.545.455;454.545.454.545.455;0.0909090909090909;Delta
252.777.777.777.778;411.111.111.111.111;0;Delta
71.280.487.804.878;671.341.463.414.634;0.725609756097561;Delta
62.037.037.037.037;12.962.962.962.963;0.648148148148148;Delta
206.896.551.724.138;0.482758620689655;344.827.586.206.897;Delta
768.421.052.631.579;143.859.649.122.807;0;Delta
363.125;8.3;10.875;Delta
0;701.754.385.964.912;0;Delta
462.807.295.796.987;11.167.327.517.843;143.616.177.636.796;Delta
254.773.869.346.734;944.221.105.527.638;0.527638190954774;Delta
995.333.333.333.333;864.833.333.333.333;0.371666666666667;Delta
136.363.636.363.636;454.545.454.545.455;0;Delta
351.851.851.851.852;494.444.444.444.444;0.351851851851852;Delta
56.078.431.372.549;901.633.986.928.105;0.568627450980392;Delta
949.789.029.535.865;728.691.983.122.363;0.856540084388186;Delta
155.806.451.612.903;37.741.935.483.871;0;Delta
331.009.615.384.615;419.230.769.230.769;0.739182692307692;Delta
216.129.032.258.065;238.709.677.419.355;12.258.064.516.129;Delta
215.254.237.288.136;169.491.525.423.729;0.220338983050847;Delta
71.282.932.416.953;944.902.634.593.356;0.777777777777778;Delta
542.814.371.257.485;42.185.628.742.515;0.902694610778443;Delta
252.393.617.021.277;664.095.744.680.851;0.441489361702128;Delta
25;25;0;Delta
482.517.073.170.732;556.780.487.804.878;0.313170731707317;Delta
530.357.142.857.143;408.928.571.428.571;0.785714285714286;Delta
158.064.516.129.032;767.741.935.483.871;0;Delta
522.350.230.414.747;166.612.903.225.806;176.036.866.359.447;Delta
0.32258064516129;18;103.225.806.451.613;Delta
118.378.378.378.378;432.432.432.432.432;135.135.135.135.135;Delta
644.372.693.726.937;862.822.878.228.782;0.598708487084871;Delta
491.176.470.588.235;841.176.470.588.235;0;Delta
730.769.230.769.231;420.512.820.512.821;0.555555555555556;Delta
740.740.740.740.741;37.037.037.037.037;0;Delta
776.623.376.623.377;693.506.493.506.494;0;Delta
694.594.594.594.595;109.459.459.459.459;0;Delta
0;20;0;Delta
102.777.777.777.778;833.333.333.333.333;0;Delta
111.428.571.428.571;579.523.809.523.809;0.10989010989011;Delta
559.259.259.259.259;181.481.481.481.481;0;Delta
402.072.538.860.104;837.305.699.481.865;0.559585492227979;Delta
292.765.957.446.808;503.829.787.234.043;0.178723404255319;Delta
765.573.770.491.803;698.126.463.700.234;0;Delta
384.615.384.615.385;769.230.769.230.769;0;Delta
691.304.347.826.087;643.478.260.869.565;0;Delta
419.480.519.480.519;440.779.220.779.221;0.446753246753247;Delta
486.185.819.070.905;124.700.488.997.555;0.905256723716381;Delta
952.631.578.947.368;354.736.842.105.263;0;Delta
552.537.593.984.962;526.785.714.285.714;181.954.887.218.045;Delta
501.574.803.149.606;418.569.553.805.774;0.412073490813648;Delta
433.630.952.380.952;831.547.619.047.619;190.972.222.222.222;Delta
3.75;31.8;0;Delta
53.921.568.627.451;215.686.274.509.804;0;Delta
2;3.2;0;Delta
544.385.026.737.968;753.208.556.149.733;0.606951871657754;Delta
735.100.193.923.723;712.540.400.775.695;0.544279250161603;Delta
469.430.051.813.471;5;0.886010362694301;Delta
492.592.592.592.593;356.386.999.244.142;0.434618291761149;Delta
730.864.197.530.864;946.913.580.246.914;0.506172839506173;Delta
692.816.901.408.451;995.492.957.746.479;0.961971830985916;Delta
774.812.967.581.047;762.344.139.650.873;0.376558603491272;Delta
462.962.962.962.963;388.888.888.888.889;37.037.037.037.037;Delta
24;933.333.333.333.333;0;Delta
133.381.642.512.077;519.806.763.285.024;0.1256038647343;Delta
512.411.081.991.763;532.609.509.546.986;0.293897416697866;Delta
601.508.620.689.655;485.775.862.068.965;0.480603448275862;Delta
0;0;0;Delta
0;297.142.857.142.857;0;Delta
910.606.060.606.061;388.030.303.030.303;0.575757575757576;Delta
92.037.037.037.037;751.851.851.851.852;0;Delta
139.032.258.064.516;545.161.290.322.581;0;Delta
718.181.818.181.818;782.785.299.806.576;147.582.205.029.014;Delta
583.732.057.416.268;633.492.822.966.507;0.497607655502392;Delta
659.966.216.216.216;891.554.054.054.054;0.331081081081081;Delta
614.285.714.285.714;285.714.285.714.286;0.762987012987013;Delta
578.260.869.565.217;291.304.347.826.087;0;Delta
758.053.691.275.168;128.406.040.268.456;141.107.382.550.336;Delta
544.961.240.310.078;485.891.472.868.217;0.578294573643411;Delta
117.213.114.754.098;117.049.180.327.869;259.836.065.573.771;Delta
423.030.303.030.303;386.666.666.666.667;0.593939393939394;Delta
456.521.739.130.435;565.217.391.304.348;0;Delta
13.4;104.571.428.571.429;0;Delta
689.285.714.285.714;0;0;Delta
58.140.589.569.161;686.394.557.823.129;12.562.358.276.644;Delta
478.242.677.824.268;238.075.313.807.531;0.836820083682008;Delta
419.230.769.230.769;286.538.461.538.462;0;Delta
2.125;673.214.285.714.286;0.232142857142857;Delta
690.811.638.591.118;731.699.846.860.643;0.367534456355283;Delta
518.134.715.025.907;595.336.787.564.767;0.821243523316062;Delta
28.921.568.627.451;51.421.568.627.451;140.686.274.509.804;Delta
442.857.142.857.143;336.904.761.904.762;0.113095238095238;Delta
128.260.869.565.217;143.478.260.869.565;434.782.608.695.652;Delta
635.811.836.115.326;200.151.745.068.285;0.379362670713202;Delta
524.776.119.402.985;99.044.776.119.403;474.925.373.134.328;Delta
442.105.263.157.895;138.157.894.736.842;0;Delta
49.297.520.661.157;518.181.818.181.818;0.256198347107438;Delta
420.444.033.302.498;33.691.026.827.012;0.449583718778908;Delta
641.317.365.269.461;188.023.952.095.808;0;Delta
344.951.140.065.147;551.791.530.944.625;0.592833876221498;Delta
559.550.561.797.753;376.404.494.382.022;0;Delta
64.968.152.866.242;534.713.375.796.178;0.318471337579618;Delta
441.333.333.333.333;10.96;0.4;Delta
142.857.142.857.143;0;0;Delta
50;0;0;Delta
0.0740740740740741;0;0;Delta
694.296.951.819.076;611.111.111.111.111;0.519174041297935;Delta
39.493.670.886.076;940.506.329.113.924;3;Delta
361.111.111.111.111;0.541666666666667;0;United
103.673.469.387.755;0.918367346938776;0;United
80.655.737.704.918;819.672.131.147.541;0;United
101.290.322.580.645;0.935483870967742;12.258.064.516.129;United
544.025.157.232.704;240.880.503.144.654;0.628930817610063;United
185.185.185.185.185;0.259259259259259;185.185.185.185.185;United
412.765.957.446.809;15.531.914.893.617;0;United
403.538.461.538.462;980.153.846.153.846;0.0307692307692308;United
154.615.384.615.385;923.076.923.076.923;317.948.717.948.718;United
271.764.705.882.353;343.235.294.117.647;0.261764705882353;United
151.206.896.551.724;262.068.965.517.241;108.620.689.655.172;United
598.333.333.333.333;2.15;0.916666666666667;United
109.480.519.480.519;197.402.597.402.597;12.987.012.987.013;United
992.592.592.592.593;333.333.333.333.333;222.222.222.222.222;United
419.024.390.243.902;378.048.780.487.805;0.0731707317073171;United
290.347.237.388.076;311.050.447.696.003;0.400960908495305;United
315.261.044.176.707;38.714.859.437.751;0.036144578313253;United
571.428.571.428.571;184.615.384.615.385;174.725.274.725.275;United
438.888.888.888.889;9.25;241.666.666.666.667;United
253.225.806.451.613;0.693548387096774;0;United
39.551.724.137.931;134.931.034.482.759;0;United
562.068.965.517.241;572.413.793.103.448;0;United
124.137.931.034.483;220.689.655.172.414;0;United
603.703.703.703.704;132.962.962.962.963;0;United
0;10;0;United
0.758064516129032;438.709.677.419.355;0.451612903225806;United
102.007.434.944.238;338.698.884.758.364;0.245353159851301;United
425.756.771.109.931;492.883.696.229.421;0.18534253850239;United
304.137.931.034.483;269.310.344.827.586;0.503448275862069;United
32.258.064.516.129;135.483.870.967.742;0;United
424.242.424.242.424;448.484.848.484.849;257.575.757.575.758;United
528.571.428.571.429;157.142.857.142.857;0;United
0.946428571428571;761.989.795.918.367;0;United
526.724.137.931.035;230.862.068.965.517;0;United
40.621.387.283.237;476.734.104.046.243;0.192196531791908;United
322.194.262.707.599;301.560.140.915.954;0.191746351283342;United
398.492.462.311.558;90.427.135.678.392;0.28391959798995;United
517.333.333.333.333;315.333.333.333.333;0;United
756.164.383.561.644;314.155.251.141.552;0.159817351598174;United
306.986.027.944.112;261.676.646.706.587;0.331337325349301;United
758.064.516.129.032;180.967.741.935.484;0;United
657.142.857.142.857;621.428.571.428.571;0;United
462.017.804.154.303;227.299.703.264.095;0.341246290801187;United
391.919.191.919.192;306.060.606.060.606;0.656565656565657;United
0;0;0;United
239.655.172.413.793;132.758.620.689.655;0;United
659.872.611.464.968;195.095.541.401.274;0;United
35.952.380.952.381;160.714.285.714.286;0.452380952380952;United
237.931.034.482.759;252.216.748.768.473;0.231527093596059;United
230.588.235.294.118;450.588.235.294.118;0;United
320.935.812.837.433;518.176.364.727.055;0.282743451309738;United
385.669.781.931.464;119.314.641.744.548;0.199376947040498;United
376.237.623.762.376;76.963.696.369.637;0.247524752475248;United
34.197.247.706.422;166.743.119.266.055;0.573394495412844;United
77.125;365.625;0;United
32.258.064.516.129;0;0;United
3.6;121.142.857.142.857;0.285714285714286;United
172.413.793.103.448;0;0;United
803.571.428.571.429;182.142.857.142.857;0;United
389.473.684.210.526;178.947.368.421.053;0;United
745.161.290.322.581;101.935.483.870.968;206.451.612.903.226;United
352.667.814.113.597;271.428.571.428.571;0.671256454388985;United
529.032.258.064.516;115.806.451.612.903;0;United
285.457.809.694.794;0.427289048473968;0.134649910233393;United
277.074.450.639.554;148.661.856.346.343;0.35749426041325;United
305.952.380.952.381;226.190.476.190.476;0;United
698.989.898.989.899;298.989.898.989.899;101.010.101.010.101;United
429.310.344.827.586;0.120689655172414;229.310.344.827.586;United
256.149.732.620.321;0.620320855614973;0;United
293.416.927.899.687;197.805.642.633.229;0.278996865203762;United
714.285.714.285.714;714.285.714.285.714;0;United
26.937.984.496.124;353.875.968.992.248;0.12015503875969;United
471.428.571.428.571;43.265.306.122.449;112.244.897.959.184;United
32.258.064.516.129;0;0;United
51.037.037.037.037;13.010.101.010.101;0.228282828282828;Southwest
102.857.142.857.143;233.153.638.814.016;0;Southwest
414.335.664.335.664;133.916.083.916.084;18.041.958.041.958;Southwest
743.818.580.833.943;182.735.918.068.764;0.16020482809071;Southwest
116.311.111.111.111;265.777.777.777.778;0.837777777777778;Southwest
730.791.788.856.305;271.847.507.331.378;0.429618768328446;Southwest
544.578.313.253.012;329.066.265.060.241;0.886044176706827;Southwest
418.075.117.370.892;10.093.896.713.615;0.471830985915493;Southwest
103.984.575.835.476;740.616.966.580.977;239.331.619.537.275;Southwest
100.366.972.477.064;535.321.100.917.431;0.369266055045872;Southwest
413.914.174.252.276;0.975292587776333;0.265279583875163;Southwest
468.381.686.310.063;472.325.475.974.615;0.737760652765186;Southwest
9.82;3.555;0.2975;Southwest
913.607.594.936.709;474.841.772.151.899;0.419303797468354;Southwest
455.223.880.597.015;0.350746268656716;149.253.731.343.284;Southwest
28.410.299.468.234;148.390.708.088.441;0.399664147774979;Southwest
424.394.673.123.487;308.504.842.615.012;0.337167070217918;Southwest
777.565.632.458.234;494.988.066.825.776;0.231503579952267;Southwest
528.224.917.309.813;170.782.800.441.014;0.0639470782800441;Southwest
706.202.090.592.334;39.993.031.358.885;0.838327526132404;Southwest
384.745.762.711.864;0.171912832929782;0;Southwest
409.719.222.462.203;244.465.442.764.579;0.247030237580994;Southwest
424.749.163.879.599;172.240.802.675.585;0.334448160535117;Southwest
112.646.048.109.966;399.312.714.776.632;157.731.958.762.887;Southwest
903.253.796.095.445;30.997.830.802.603;0.266811279826464;Southwest
821.263.482.280.431;326.502.311.248.074;0.457627118644068;Southwest
969.194.312.796.209;24.739.336.492.891;0.374407582938389;Southwest
670.736.086.175.943;243.985.637.342.908;0.612208258527828;Southwest
298.168.613.830.123;320.334.701.610.357;128.828.544.363.751;Southwest
474.837.108.284.207;329.972.075.705.864;0.285138070121005;Southwest
584.244.372.990.354;132.475.884.244.373;111.254.019.292.605;Southwest
100.289.256.198.347;116.900.826.446.281;322.727.272.727.273;Southwest
776.190.476.190.476;42.531.328.320.802;0.270676691729323;Southwest
825.555.555.555.556;151.481.481.481.481;0.703703703703704;Southwest
713.655.091.230.135;160.329.605.650.383;0.323131253678634;Southwest
471.768.465.909.091;376.669.034.090.909;0.407315340909091;Southwest
510.362.694.300.518;506.511.226.252.159;0.878065630397237;Southwest
593.146.417.445.483;368.224.299.065.421;0.700934579439252;Southwest
595.367.847.411.444;515.258.855.585.831;0.400544959128065;Southwest
849.453.551.912.568;341.803.278.688.525;0.336065573770492;Southwest
729.162.656.400.385;296.438.883.541.867;0.116458132820019;Southwest
417.448.818.897.638;245.858.267.716.535;0.236535433070866;Southwest
107.068.645.640.074;186.456.400.742.115;0.805194805194805;Southwest
724.018.475.750.577;290.993.071.593.533;0.120092378752887;Southwest
549.104.234.527.687;128.501.628.664.495;0.154723127035831;Southwest
105.630.498.533.724;0.935483870967742;0.293255131964809;Southwest
964.183.381.088.825;256.160.458.452.722;140.974.212.034.384;Southwest
450.151.362.260.343;102.018.163.471.241;0.112008072653885;Southwest
52.635.046.113.307;468.774.703.557.312;0.91699604743083;Southwest
355.792.197.452.229;199.820.859.872.611;0.408837579617834;Southwest
922.463.768.115.942;528.623.188.405.797;0.072463768115942;Southwest
638.571.428.571.429;349.642.857.142.857;0.305952380952381;Southwest
869.191.919.191.919;233.333.333.333.333;0.252525252525253;Southwest
383.280.757.097.792;0.79179810725552;0.318611987381703;Southwest
922.185.430.463.576;226.490.066.225.166;0.251655629139073;Southwest
449.636.098.981.077;208.478.893.740.902;0.51018922852984;Southwest
641.802.641.802.642;236.130.536.130.536;0.144522144522145;Southwest
106.197.183.098.592;332.159.624.413.146;0.720657276995305;Southwest
584.233.261.339.093;0.645788336933045;0.215982721382289;Southwest
490.901.898.734.177;215.427.215.189.873;337.816.455.696.203;Southwest
390.550.414.028.251;226.741.354.115.928;0.316122747199221;Southwest
623.404.255.319.149;13.031.914.893.617;0.322695035460993;Southwest
425.771.238.728.049;173.706.691.979.117;0.433792121499763;Southwest
339.465.648.854.962;17.175.572.519.084;0.762595419847328;Southwest
645.843.957.164.712;319.173.890.872.004;0.556858745537991;Southwest
598.771.846.953.236;415.257.439.773.264;0.433160132262636;Southwest
65.615.866.388.309;185.386.221.294.363;0.498956158663883;Southwest
599.815.157.116.451;147.134.935.304.991;0.382624768946396;Southwest
102.882.882.882.883;484.684.684.684.685;105.405.405.405.405;American
677.310.924.369.748;617.016.806.722.689;173.529.411.764.706;American
769.752.066.115.703;388.595.041.322.314;172.396.694.214.876;American
113.897.058.823.529;361.029.411.764.706;0.257352941176471;American
135.952.380.952.381;223.809.523.809.524;0.476190476190476;American
824.464.831.804.281;418.348.623.853.211;112.844.036.697.248;American
88.093.567.251.462;137.719.298.245.614;225.146.198.830.409;American
99.126.213.592.233;713.592.233.009.709;169.902.912.621.359;American
924.696.356.275.304;48.502.024.291.498;118.623.481.781.377;American
897.619.047.619.048;773.015.873.015.873;0.333333333333333;American
116.125;9.375;0.3;American
723.741.007.194.245;312.230.215.827.338;0.561151079136691;American
896.153.846.153.846;107.692.307.692.308;1.25;American
678.851.174.934.726;362.140.992.167.102;0.774151436031332;American
923.255.813.953.488;416.067.653.276.956;145.031.712.473.573;American
379.333.051.920.642;634.934.571.549.177;0.719121992401857;American
103.404.255.319.149;56.436.170.212.766;123.936.170.212.766;American
142.897.727.272.727;593.181.818.181.818;402.840.909.090.909;American
111.265.306.122.449;222.448.979.591.837;14.734.693.877.551;American
394.458.438.287.154;10.095.717.884.131;191.183.879.093.199;American
170.178.571.428.571;235.714.285.714.286;133.928.571.428.571;American
101.496.062.992.126;812.992.125.984.252;253.149.606.299.213;American
860.714.285.714.286;753.571.428.571.429;2.75;American
14.95;5.15;401.666.666.666.667;American
154.285.714.285.714;223.265.306.122.449;261.734.693.877.551;American
789.873.417.721.519;365.822.784.810.127;146.835.443.037.975;American
925.076.452.599.388;825.993.883.792.049;0.305810397553517;American
865.682.656.826.568;691.143.911.439.114;115.129.151.291.513;American
5.2;106.363.636.363.636;114.545.454.545.455;American
95.177.304.964.539;954.609.929.078.014;136.879.432.624.113;American
992.592.592.592.593;611.111.111.111.111;694.444.444.444.444;American
113.551.401.869.159;530.841.121.495.327;129.906.542.056.075;American
699.887.387.387.387;805.743.243.243.243;0.69481981981982;American
113.333.333.333.333;24.25;0;American
107.374.581.939.799;442.976.588.628.763;132.943.143.812.709;American
77.877.947.295.423;667.961.165.048.544;117.290.799.815.072;American
454.487.179.487.179;872.676.282.051.282;149.919.871.794.872;American
688.888.888.888.889;241.944.444.444.444;0;American
879.268.292.682.927;528.658.536.585.366;210.060.975.609.756;American
131.994.047.619.048;56.577.380.952.381;136.309.523.809.524;American
531.007.751.937.984;478.294.573.643.411;216.279.069.767.442;American
126.851.851.851.852;681.481.481.481.481;0.972222222222222;American
718.955.629.338.968;830.787.805.614.247;138.001.811.047.389;American
888.508.557.457.213;662.102.689.486.553;287.530.562.347.188;American
808.360.128.617.363;647.909.967.845.659;131.189.710.610.932;American
883.333.333.333.333;508.333.333.333.333;0;American
