;outcome;purpose_;dti;borrower_score;payment_inc_ratio
11060;default;debt_consolidation;17.12;0.35;143.483
22210;default;other;16.06;0.7;40.812
4095;default;credit_card;19.72;0.4;179.856
30270;paid off;debt_consolidation;15.17;0.4;73.297
44976;paid off;debt_consolidation;15.94;0.5;684.339
6117;default;credit_card;14.28;0.55;634.571
24695;paid off;credit_card;14.64;0.75;521.777
36045;paid off;debt_consolidation;8.45;0.4;536.139
30548;paid off;debt_consolidation;20.79;0.7;669.905
20962;default;debt_consolidation;7.14;0.55;9.426
7127;default;debt_consolidation;22.17;0.55;549.931
34943;paid off;credit_card;10.19;0.45;23.468
33042;paid off;home_improvement;17.18;0.6;3.914
29231;paid off;other;18.6;0.6;776.373
42989;paid off;debt_consolidation;20.89;0.55;632.734
32224;paid off;debt_consolidation;12.89;0.55;8.856
40177;paid off;credit_card;15.95;0.55;987.171
4402;default;other;1.77;0.35;0.221906
23386;paid off;debt_consolidation;17;0.55;643.735
27429;paid off;other;13.06;0.5;972.069
36110;paid off;debt_consolidation;25.38;0.3;780.829
11471;default;debt_consolidation;22.83;0.5;178.067
5786;default;debt_consolidation;22.47;0.65;156.019
8501;default;credit_card;11.64;0.6;136.776
32345;paid off;home_improvement;13.91;0.7;232.229
40814;paid off;debt_consolidation;29.97;0.55;14.73
31506;paid off;credit_card;25.42;0.75;577.415
22071;default;debt_consolidation;27.5;0.6;147.003
8760;default;debt_consolidation;18.72;0.5;68.932
9467;default;home_improvement;15.41;0.5;12.804
36089;paid off;debt_consolidation;20.96;0.7;901.168
8824;default;credit_card;29.07;0.3;150.219
36871;paid off;debt_consolidation;14.92;0.7;331.182
15016;default;debt_consolidation;15.33;0.65;109.084
27811;paid off;other;15.69;0.4;164.076
31477;paid off;major_purchase;0.6;0.6;59.967
16443;default;debt_consolidation;8.95;0.55;582.789
27974;paid off;credit_card;5.61;0.6;356.895
32565;paid off;debt_consolidation;25.41;0.6;133.063
5276;default;small_business;1.57;0.35;958.608
9853;default;major_purchase;19.11;0.45;23.757
9597;default;other;30.6;0.45;156.752
29012;paid off;other;12.53;0.6;207.563
7993;default;small_business;25.23;0.75;129.764
14378;default;debt_consolidation;24.82;0.35;105.487
22808;default;debt_consolidation;21.91;0.5;506.023
22378;default;debt_consolidation;13.03;0.6;111.843
700;default;debt_consolidation;13.65;0.55;148.086
9022;default;debt_consolidation;7.75;0.7;95.474
32061;paid off;other;8.02;0.7;8.983
17635;default;debt_consolidation;16.71;0.5;864.794
2782;default;debt_consolidation;15.14;0.35;12.765
35404;paid off;debt_consolidation;4.86;0.7;186.972
41582;paid off;credit_card;30.18;0.5;874.125
45473;paid off;debt_consolidation;15.51;0.55;140.852
28218;paid off;major_purchase;23.25;0.45;289.577
32473;paid off;debt_consolidation;8.42;0.35;536.218
44026;paid off;debt_consolidation;9.06;0.4;163.538
6893;default;debt_consolidation;26.13;0.35;993.493
31532;paid off;debt_consolidation;18.08;0.5;512.226
45242;paid off;debt_consolidation;22.42;0.45;442.144
44608;paid off;small_business;1.53;0.85;912.639
46149;paid off;debt_consolidation;10.34;0.55;959.132
41086;paid off;other;3.27;0.7;23.808
38554;paid off;debt_consolidation;8.36;0.75;105.946
22948;default;small_business;9.36;0.55;12.842
23380;paid off;major_purchase;4.8;0.65;264.634
35870;paid off;other;15.62;0.6;274.391
25168;paid off;other;19.82;0.4;11.994
33438;paid off;credit_card;12.85;0.5;519.513
118;default;other;20.25;0.35;952.015
23072;default;debt_consolidation;18.89;0.7;104.786
11667;default;home_improvement;11.42;0.4;58.448
24474;paid off;debt_consolidation;26.7;0.5;405.608
7052;default;debt_consolidation;30.49;0.5;152.105
7909;default;debt_consolidation;28.54;0.55;12.249
23968;paid off;debt_consolidation;17.28;0.45;973.952
23970;paid off;credit_card;20.95;0.55;692.815
45544;paid off;debt_consolidation;14.84;0.45;10.498
5155;default;debt_consolidation;6.6;0.65;234.771
2403;default;credit_card;20.35;0.3;700.434
24451;paid off;credit_card;16.44;0.4;58.395
17843;default;debt_consolidation;24.53;0.65;823.981
20308;default;home_improvement;5.31;0.65;138.591
46046;paid off;debt_consolidation;22.25;0.45;153.531
13194;default;credit_card;32.47;0.55;141.573
7193;default;debt_consolidation;20.4;0.4;134.863
45182;paid off;major_purchase;4.17;0.5;118.167
29329;paid off;debt_consolidation;15.4;0.45;938.945
31861;paid off;debt_consolidation;21.26;0.55;632.148
34326;paid off;home_improvement;11.96;0.8;57.156
33876;paid off;debt_consolidation;10.26;0.35;86.841
4688;default;home_improvement;18.07;0.45;137.863
39274;paid off;debt_consolidation;34.22;0.45;618.238
30852;paid off;debt_consolidation;20.78;0.45;128.735
35749;paid off;major_purchase;9.95;0.65;493.873
6168;default;debt_consolidation;31.44;0.3;87.597
16500;default;debt_consolidation;14.19;0.35;142.467
32488;paid off;major_purchase;5.8;0.6;139.073
33946;paid off;credit_card;27.03;0.35;130.978
39607;paid off;debt_consolidation;26.94;0.35;944.329
22499;default;credit_card;24.53;0.45;9.324
3577;default;debt_consolidation;16.62;0.55;102.219
1272;default;debt_consolidation;18.23;0.35;934.686
29795;paid off;major_purchase;8.48;0.65;135.378
15342;default;credit_card;31.47;0.25;57.633
10198;default;debt_consolidation;30.21;0.55;149.661
9339;default;other;13.05;0.45;298.871
19368;default;credit_card;25.68;0.6;55.959
7316;default;debt_consolidation;20.08;0.4;117.156
13922;default;debt_consolidation;9.41;0.45;187.111
6124;default;debt_consolidation;20.18;0.35;537.207
42829;paid off;debt_consolidation;25.11;0.65;355.103
36381;paid off;debt_consolidation;17.88;0.7;8.256
30059;paid off;credit_card;28.68;0.6;108.857
42055;paid off;debt_consolidation;19.9;0.6;835.773
43478;paid off;debt_consolidation;15.43;0.35;122.883
21930;default;debt_consolidation;28.05;0.25;111.024
29639;paid off;debt_consolidation;12.58;0.4;726.547
7401;default;debt_consolidation;18.9;0.5;122.311
35008;paid off;credit_card;19.14;0.75;116.989
44131;paid off;credit_card;17.11;0.6;37.334
42057;paid off;credit_card;16.2;0.45;685.706
13379;default;credit_card;18.64;0.5;654.497
14034;default;debt_consolidation;11.76;0.35;136.452
4660;default;small_business;9.01;0.55;10.392
1495;default;small_business;3.34;0.4;438.495
27999;paid off;debt_consolidation;12.11;0.6;173.435
14083;default;debt_consolidation;24.07;0.55;528.554
23868;paid off;debt_consolidation;1.78;0.8;293.568
18094;default;debt_consolidation;28.24;0.55;147.165
25121;paid off;debt_consolidation;20.5;0.45;783.609
33348;paid off;debt_consolidation;18.42;0.6;64.902
31284;paid off;other;4.46;0.65;364.344
692;default;major_purchase;13.12;0.6;29.444
3693;default;debt_consolidation;11.56;0.35;7.419
20687;default;other;8.81;0.6;54.984
11580;default;credit_card;22.02;0.55;123.024
18913;default;debt_consolidation;21.51;0.45;617.376
44083;paid off;debt_consolidation;21.28;0.5;139.751
19315;default;debt_consolidation;8.96;0.65;992.129
24417;paid off;debt_consolidation;13.46;0.4;10.738
32660;paid off;debt_consolidation;9.74;0.65;86.754
27439;paid off;other;12.86;0.5;401.918
35397;paid off;credit_card;12.73;0.5;55.112
13890;default;debt_consolidation;14.62;0.25;705.826
7668;default;debt_consolidation;20.98;0.5;612.592
45810;paid off;small_business;8.25;0.6;180.194
45096;paid off;medical;12.68;0.6;46.159
39052;paid off;debt_consolidation;19.05;0.5;113.316
45131;paid off;debt_consolidation;3.09;0.6;134.129
11834;default;debt_consolidation;23.95;0.6;103.743
15286;default;other;18.84;0.45;114.735
30660;paid off;debt_consolidation;12.9;0.55;561.375
17163;default;credit_card;30.62;0.35;17.148
24977;paid off;major_purchase;1.6;0.6;365.013
25929;paid off;debt_consolidation;14.96;0.45;489.453
34754;paid off;small_business;26.32;0.7;104.992
9702;default;debt_consolidation;7.08;0.65;79.152
7887;default;major_purchase;18.94;0.6;161.712
32510;paid off;debt_consolidation;24.08;0.25;105.838
27404;paid off;credit_card;14.42;0.55;118.053
44252;paid off;debt_consolidation;15.36;0.55;99.629
44743;paid off;credit_card;13.38;0.65;432.488
10906;default;debt_consolidation;22.4;0.3;10.292
42977;paid off;credit_card;20.1;0.65;895.638
40778;paid off;debt_consolidation;2.4;0.5;125.697
41047;paid off;debt_consolidation;14.56;0.5;367.249
6404;default;credit_card;28.5;0.45;13.684
1782;default;other;19.27;0.5;825.303
13152;default;credit_card;10.39;0.5;147.803
4822;default;small_business;18.53;0.55;132.622
22108;default;credit_card;13.59;0.55;621.969
3808;default;debt_consolidation;20.42;0.35;292.173
11483;default;major_purchase;31.38;0.4;987.241
10805;default;debt_consolidation;1.9;0.6;931.464
14196;default;debt_consolidation;20.74;0.5;159.866
15071;default;home_improvement;7.97;0.35;2.812
45653;paid off;debt_consolidation;10.32;0.7;728.686
45452;paid off;other;8.73;0.5;405.845
5486;default;credit_card;22.95;0.5;585.316
139;default;credit_card;5.06;0.65;579.371
35359;paid off;other;16.03;0.6;159.227
13028;default;debt_consolidation;15.65;0.5;136.269
27878;paid off;debt_consolidation;3.61;0.55;666.802
19075;default;debt_consolidation;15.48;0.55;780.207
19541;default;home_improvement;12.5;0.3;785.243
326;default;debt_consolidation;15.21;0.35;75.477
36064;paid off;home_improvement;27;0.55;32.804
27536;paid off;debt_consolidation;6.91;0.6;534.156
32802;paid off;debt_consolidation;23.47;0.3;901.915
7248;default;debt_consolidation;20.7;0.4;102.752
14216;default;debt_consolidation;14.5;0.55;973.937
3846;default;credit_card;20.16;0.55;754.292
44501;paid off;debt_consolidation;7.66;0.5;627.684
43014;paid off;credit_card;17.64;0.5;629.513
15217;default;debt_consolidation;29.1;0.45;49.742
39629;paid off;debt_consolidation;26.65;0.6;710.312
6819;default;debt_consolidation;15.22;0.45;296.174
26096;paid off;credit_card;27.2;0.45;10.647
23329;paid off;debt_consolidation;12.44;0.4;73.812
25116;paid off;credit_card;18.48;0.35;82.386
27468;paid off;debt_consolidation;14.6;0.5;475.458
20522;default;debt_consolidation;18.67;0.5;84.345
17686;default;other;26.19;0.4;876.715
8953;default;credit_card;25.56;0.55;130.568
31540;paid off;debt_consolidation;19.8;0.35;142.904
34977;paid off;credit_card;14.47;0.7;5.004
15600;default;medical;12.32;0.6;24.496
11252;default;debt_consolidation;3.69;0.55;105.177
20510;default;debt_consolidation;15.38;0.5;136.751
1232;default;major_purchase;17.78;0.35;116.987
1051;default;debt_consolidation;10.99;0.55;154.858
26945;paid off;other;18.85;0.5;265.774
31213;paid off;other;8.04;0.6;122.181
41380;paid off;debt_consolidation;7.25;0.55;139.167
37395;paid off;home_improvement;15.18;0.4;857.051
30491;paid off;debt_consolidation;18.55;0.5;256.693
3899;default;other;11.29;0.45;115.662
6354;default;debt_consolidation;8.4;0.45;683.489
37646;paid off;credit_card;17.85;0.75;367.865
30409;paid off;credit_card;6.77;0.7;25.472
1369;default;other;23.07;0.25;105.348
45312;paid off;credit_card;10.5;0.6;663.397
11301;default;credit_card;4.92;0.25;69.228
3797;default;debt_consolidation;15.84;0.35;6.301
4314;default;credit_card;6.85;0.4;112.825
34054;paid off;small_business;4.29;0.75;67.236
8548;default;debt_consolidation;9.04;0.65;7.92
24126;paid off;debt_consolidation;21.28;0.4;873.943
16438;default;debt_consolidation;22.92;0.45;156.826
23901;paid off;credit_card;16.86;0.45;702.786
6476;default;debt_consolidation;21.64;0.35;905.709
38517;paid off;debt_consolidation;19.57;0.45;181.311
1832;default;debt_consolidation;15.31;0.55;41.162
4117;default;other;21.05;0.3;107.214
1064;default;debt_consolidation;14.9;0.65;937.479
17472;default;home_improvement;21.02;0.6;154.555
18899;default;debt_consolidation;19.1;0.5;968.263
34882;paid off;debt_consolidation;21.29;0.55;129.909
14564;default;debt_consolidation;26.88;0.55;695.778
20790;default;debt_consolidation;23.31;0.25;110.486
41818;paid off;debt_consolidation;11.28;0.5;633.615
32890;paid off;debt_consolidation;19.79;0.4;137.794
34110;paid off;debt_consolidation;27.35;0.5;156.204
33798;paid off;debt_consolidation;9.8;0.65;107.096
4763;default;debt_consolidation;11.76;0.45;711.028
10115;default;debt_consolidation;25.72;0.55;65.518
10060;default;debt_consolidation;16.9;0.4;720.789
37428;paid off;debt_consolidation;12.87;0.55;684.488
15260;default;debt_consolidation;22.75;0.45;156.242
36404;paid off;debt_consolidation;20.82;0.3;578.931
7524;default;credit_card;31.37;0.3;137.596
9653;default;credit_card;18.96;0.6;112.556
41787;paid off;debt_consolidation;4.34;0.6;156.288
17910;default;debt_consolidation;19.05;0.6;117.108
46262;paid off;other;9.3;0.5;597.877
16634;default;debt_consolidation;18.83;0.3;153.997
5569;default;other;23.54;0.6;611.705
32585;paid off;credit_card;11.35;0.6;101.808
40796;paid off;debt_consolidation;12.06;0.4;971.347
38428;paid off;debt_consolidation;7.61;0.55;693.212
19090;default;debt_consolidation;17.37;0.35;118.301
2978;default;credit_card;23.57;0.25;976.664
14352;default;other;22.59;0.3;860.563
20255;default;credit_card;13.99;0.6;723.671
15650;default;debt_consolidation;18.14;0.55;600.792
11240;default;small_business;16.25;0.55;138.282
31525;paid off;major_purchase;11.62;0.45;117.425
34959;paid off;debt_consolidation;13.27;0.2;100.546
27623;paid off;debt_consolidation;12.86;0.5;298.576
44275;paid off;debt_consolidation;3.01;0.8;259.615
11593;default;credit_card;11.64;0.4;114.516
20432;default;credit_card;5.22;0.5;54.784
17893;default;other;13.62;0.35;498.068
23296;paid off;debt_consolidation;12.51;0.55;286.044
39162;paid off;major_purchase;2.67;0.75;315.823
22701;default;debt_consolidation;7.65;0.55;122.145
31453;paid off;debt_consolidation;17.13;0.55;60.009
4338;default;small_business;18.05;0.3;145.118
1913;default;debt_consolidation;22.26;0.5;123.945
9458;default;credit_card;10.11;0.6;772.683
389;default;debt_consolidation;9.26;0.3;600.706
17975;default;debt_consolidation;24.47;0.2;132.092
27553;paid off;debt_consolidation;12.8;0.65;114.377
28814;paid off;other;17.41;0.65;562.189
9751;default;debt_consolidation;18.08;0.35;901.318
17972;default;debt_consolidation;27.94;0.5;294.343
36507;paid off;debt_consolidation;10.43;0.35;121.267
37594;paid off;major_purchase;4.7;0.4;10.315
23263;paid off;debt_consolidation;6.44;0.5;103.219
22667;default;debt_consolidation;17.84;0.4;115.579
40193;paid off;debt_consolidation;17.24;0.55;267.084
2570;default;small_business;1.74;0.5;3.162
11864;default;credit_card;24.54;0.6;9.927
36992;paid off;credit_card;14.23;0.6;396.991
19059;default;credit_card;24.94;0.4;503.481
1560;default;debt_consolidation;21.11;0.65;142.437
10979;default;debt_consolidation;20.83;0.5;129.859
12045;default;debt_consolidation;8;0.35;413.987
44095;paid off;home_improvement;3.93;0.5;174.627
27792;paid off;debt_consolidation;15.68;0.4;101.611
44239;paid off;home_improvement;10.1;0.65;43.732
44855;paid off;debt_consolidation;6.17;0.75;916.837
27838;paid off;credit_card;15.95;0.6;633.946
17329;default;debt_consolidation;27.86;0.2;129.418
20150;default;medical;25.16;0.55;383.926
32865;paid off;debt_consolidation;7.88;0.6;798.258
39626;paid off;debt_consolidation;13.7;0.3;226.191
320;default;debt_consolidation;10.45;0.45;706.985
3263;default;debt_consolidation;11.55;0.65;752.902
8109;default;credit_card;18.24;0.7;68.164
29319;paid off;home_improvement;23.81;0.45;122.553
44888;paid off;debt_consolidation;13.4;0.65;724.258
39746;paid off;debt_consolidation;7.44;0.6;542.753
19564;default;debt_consolidation;20.79;0.55;22.115
27783;paid off;debt_consolidation;22.79;0.25;516.229
26303;paid off;debt_consolidation;12.55;0.4;12.598
14559;default;debt_consolidation;15.89;0.25;68.892
41113;paid off;other;6.68;0.65;77.102
41668;paid off;debt_consolidation;8.86;0.5;103.917
41374;paid off;debt_consolidation;9.65;0.4;127.766
23438;paid off;major_purchase;11.69;0.6;493.108
13706;default;debt_consolidation;16.71;0.3;714.653
37868;paid off;credit_card;9.19;0.4;905.727
26245;paid off;other;19;0.5;283.967
19745;default;other;1.81;0.45;358.221
4581;default;debt_consolidation;16.46;0.6;198.697
33236;paid off;debt_consolidation;16.9;0.5;125.162
41714;paid off;debt_consolidation;20.92;0.45;161.361
8070;default;debt_consolidation;17.64;0.15;456.918
1157;default;other;20.6;0.55;2.492
39431;paid off;debt_consolidation;4.57;0.65;128.105
19227;default;debt_consolidation;9.51;0.45;650.486
29249;paid off;debt_consolidation;4.88;0.4;146.031
10795;default;credit_card;9.07;0.35;868.467
1142;default;other;10.06;0.45;648.754
993;default;debt_consolidation;21.07;0.45;134.654
27494;paid off;debt_consolidation;9.9;0.65;745.761
4167;default;debt_consolidation;4.32;0.3;193.852
12112;default;debt_consolidation;14.68;0.35;546.918
27618;paid off;debt_consolidation;17.82;0.6;14.654
21997;default;debt_consolidation;2;0.55;372.225
38383;paid off;debt_consolidation;16.8;0.45;151.014
12673;default;debt_consolidation;15.83;0.5;187.884
7911;default;debt_consolidation;22.91;0.6;296.168
22440;default;debt_consolidation;16.11;0.55;829.323
27434;paid off;debt_consolidation;21.27;0.6;11.794
26268;paid off;small_business;19.28;0.45;331.511
24745;paid off;debt_consolidation;27.5;0.5;156.117
36080;paid off;other;1.22;0.6;904.786
27065;paid off;credit_card;7.58;0.55;331.895
38379;paid off;debt_consolidation;15.7;0.45;40.378
29021;paid off;debt_consolidation;27.36;0.5;106.959
41079;paid off;small_business;11.91;0.6;85.536
15656;default;debt_consolidation;34.42;0.25;142.227
30248;paid off;major_purchase;3.73;0.75;182.505
16157;default;credit_card;21.74;0.35;167.124
34954;paid off;home_improvement;4.61;0.75;340.907
42578;paid off;debt_consolidation;8.42;0.5;143.438
45092;paid off;credit_card;17.8;0.6;79.847
4765;default;other;7.8;0.65;263.774
39193;paid off;debt_consolidation;20.43;0.5;0.620435
19345;default;debt_consolidation;15.72;0.55;567.686
44579;paid off;debt_consolidation;14.54;0.55;495.716
629;default;debt_consolidation;22.66;0.4;119.713
15118;default;debt_consolidation;28.83;0.35;158.037
28297;paid off;home_improvement;1.4;0.75;632.283
10153;default;debt_consolidation;34.8;0.4;4.979
35831;paid off;debt_consolidation;19.31;0.65;350.976
32158;paid off;credit_card;23.89;0.35;144.332
33640;paid off;credit_card;11.24;0.45;263.793
37830;paid off;debt_consolidation;17.33;0.6;457.867
5628;default;small_business;20.82;0.4;702.986
4865;default;other;14.46;0.6;135.671
27649;paid off;credit_card;31.97;0.65;127.082
27863;paid off;debt_consolidation;7.37;0.7;339.382
11507;default;credit_card;22.77;0.45;104.489
41403;paid off;credit_card;4.08;0.35;127.198
40296;paid off;debt_consolidation;34.5;0.6;171.074
2269;default;debt_consolidation;3.71;0.7;176.285
493;default;home_improvement;23.16;0.4;167.333
40146;paid off;debt_consolidation;31.46;0.55;602.089
5290;default;small_business;3.83;0.7;154.892
27603;paid off;debt_consolidation;23.75;0.5;111.064
28927;paid off;credit_card;28.84;0.55;152.285
33497;paid off;small_business;9.75;0.6;91.833
18841;default;debt_consolidation;17.73;0.4;119.376
34926;paid off;debt_consolidation;26.04;0.5;26.748
19583;default;debt_consolidation;29.74;0.7;135.303
14273;default;debt_consolidation;24.87;0.35;110.149
5502;default;other;15.82;0.6;584.483
6976;default;debt_consolidation;28.35;0.55;144.017
24286;paid off;small_business;3.55;0.55;627.051
14117;default;debt_consolidation;16.06;0.55;98.388
11029;default;credit_card;9.56;0.6;150.589
11003;default;credit_card;7.61;0.35;134.329
20424;default;debt_consolidation;13.59;0.4;68.579
26142;paid off;credit_card;26.27;0.65;685.872
45466;paid off;home_improvement;5.72;0.4;42.945
29768;paid off;debt_consolidation;17.19;0.5;853.174
1749;default;debt_consolidation;13.16;0.65;183.491
43574;paid off;debt_consolidation;13.23;0.55;11.638
26467;paid off;debt_consolidation;18.03;0.4;889.998
6730;default;major_purchase;13.29;0.6;968.083
38474;paid off;debt_consolidation;27.59;0.35;134.203
5541;default;other;24.55;0.4;106.685
13459;default;debt_consolidation;15.37;0.65;156.452
9284;default;debt_consolidation;26.71;0.55;5.014
4194;default;debt_consolidation;20.63;0.45;5.455
31450;paid off;debt_consolidation;10.8;0.5;82.476
37956;paid off;credit_card;13.11;0.7;83.316
45110;paid off;other;23.04;0.45;240.163
32929;paid off;debt_consolidation;9.29;0.35;638.013
14373;default;debt_consolidation;16.28;0.6;118.099
31643;paid off;debt_consolidation;33.23;0.4;565.539
11290;default;debt_consolidation;7.02;0.5;796.064
14741;default;debt_consolidation;32.65;0.45;14.047
39443;paid off;other;19.21;0.5;4.016
34126;paid off;other;16.29;0.5;497.984
8842;default;debt_consolidation;20.28;0.45;103.618
10410;default;debt_consolidation;21.74;0.55;582.531
23499;paid off;debt_consolidation;20.15;0.45;790.636
22809;default;debt_consolidation;10.62;0.4;115.608
10218;default;debt_consolidation;24.94;0.5;596.382
42581;paid off;debt_consolidation;8.74;0.65;458.914
40772;paid off;debt_consolidation;16.53;0.45;131.003
36798;paid off;home_improvement;20.46;0.45;15.525
41018;paid off;other;23.65;0.45;580.435
3666;default;debt_consolidation;14.5;0.6;3.187
59;default;credit_card;21.83;0.5;124.035
26427;paid off;debt_consolidation;19.15;0.65;134.023
24184;paid off;debt_consolidation;13.73;0.35;126.484
22504;default;home_improvement;17.43;0.35;81.165
19981;default;debt_consolidation;16.3;0.5;109.215
30471;paid off;debt_consolidation;19.3;0.55;167.572
27737;paid off;debt_consolidation;21.34;0.5;103.997
39988;paid off;debt_consolidation;34.13;0.25;184.214
38195;paid off;credit_card;14.82;0.25;782.267
24915;paid off;debt_consolidation;13.77;0.65;680.795
42037;paid off;credit_card;3.94;0.5;80.856
45341;paid off;credit_card;16.45;0.55;214.863
21850;default;credit_card;24.7;0.55;632.418
14903;default;debt_consolidation;10.13;0.55;901.509
9707;default;debt_consolidation;26.91;0.75;132.818
30621;paid off;debt_consolidation;16.49;0.75;142.334
11442;default;debt_consolidation;29.04;0.3;844.104
2591;default;other;18.9;0.45;5.068
26799;paid off;debt_consolidation;9.86;0.45;938.712
22084;default;debt_consolidation;26.79;0.5;397.914
18971;default;debt_consolidation;21.69;0.4;835.957
8777;default;debt_consolidation;20.72;0.3;142.325
18115;default;debt_consolidation;24.55;0.45;150.464
33954;paid off;home_improvement;18.61;0.7;74.994
30521;paid off;small_business;2.76;0.6;160.556
19122;default;credit_card;22.96;0.3;4.435
42444;paid off;credit_card;11.19;0.55;747.885
28657;paid off;debt_consolidation;14.79;0.45;385.957
20985;default;debt_consolidation;16.91;0.4;994.594
42932;paid off;credit_card;25.14;0.4;334.782
15132;default;debt_consolidation;23.86;0.8;115.867
40461;paid off;major_purchase;12.25;0.65;24.128
23281;paid off;debt_consolidation;13.61;0.65;116.345
825;default;other;0.22;0.45;970.171
24032;paid off;other;20.33;0.5;833.064
1442;default;debt_consolidation;15;0.45;78.366
40173;paid off;other;4.24;0.65;120.472
3316;default;credit_card;9.16;0.7;543.183
22672;default;debt_consolidation;21.58;0.45;880.175
9337;default;debt_consolidation;20.28;0.35;136.681
7497;default;home_improvement;13.33;0.6;152.208
43939;paid off;debt_consolidation;29.57;0.7;441.514
43984;paid off;home_improvement;7.41;0.6;48.274
9808;default;debt_consolidation;31.52;0.25;149.893
22030;default;debt_consolidation;3.95;0.35;841.493
10802;default;debt_consolidation;29.65;0.5;127.859
1623;default;home_improvement;16.22;0.4;626.416
6384;default;debt_consolidation;22.94;0.45;118.157
45256;paid off;debt_consolidation;12.11;0.6;179.208
42343;paid off;debt_consolidation;10.55;0.55;493.975
1182;default;major_purchase;14.98;0.7;28.408
44005;paid off;debt_consolidation;11.16;0.45;688.157
512;default;debt_consolidation;10.93;0.25;617.568
40319;paid off;debt_consolidation;17.85;0.65;414.344
25641;paid off;home_improvement;18.46;0.65;83.552
44213;paid off;other;21.65;0.7;341.769
15519;default;debt_consolidation;14.12;0.4;746.681
5125;default;other;6.9;0.45;323.067
18488;default;small_business;8.5;0.3;666.822
22974;default;other;15.14;0.4;681.315
24318;paid off;credit_card;21.74;0.4;128.332
1608;default;debt_consolidation;21.83;0.4;345.117
6310;default;credit_card;17.04;0.55;18.252
31902;paid off;debt_consolidation;12.28;0.45;751.214
39462;paid off;debt_consolidation;11.05;0.45;356.463
33688;paid off;debt_consolidation;20.49;0.6;952.044
25512;paid off;debt_consolidation;6.3;0.8;293.329
31364;paid off;credit_card;11.43;0.4;391.871
7313;default;debt_consolidation;10.52;0.3;113.684
32748;paid off;other;17.16;0.65;222.768
23426;paid off;debt_consolidation;15.44;0.35;11.052
14946;default;debt_consolidation;27.47;0.45;854.583
18091;default;debt_consolidation;6.85;0.65;106.469
6528;default;debt_consolidation;21.8;0.7;789.548
18702;default;debt_consolidation;20.96;0.6;152.179
33296;paid off;debt_consolidation;22.22;0.7;18.262
